data-id ,data-productcode ,data-price ,href                                                                                     ,data-name                                                   ,data-id ,data-price ,data-brand     ,data-cate  ,item-rating-total
 251192 ,   0131491003411 ,29490000.0 ,https://www.dienmayxanh.com/dien-thoai/iphone-14-pro-max                                 ,Điện thoại iPhone 14 Pro Max 128GB                          , 251192 ,27390000.0 ,iPhone (Apple) ,Điện thoại ,              442
 320836 ,   0131491004003 , 4490000.0 ,https://www.dienmayxanh.com/dien-thoai/oppo-a38-6gb                                      ,Điện thoại OPPO A38 6GB                                     , 320836 , 4290000.0 ,OPPO           ,Điện thoại ,                9
 318906 ,   0131491003925 , 3390000.0 ,https://www.dienmayxanh.com/dien-thoai/vivo-y17s-4-64                                    ,Điện thoại vivo Y17s (4GB/64GB)                             , 318906 , 3390000.0 ,vivo           ,Điện thoại ,                7
 311120 ,   0131491003770 , 5190000   ,https://www.dienmayxanh.com/dien-thoai/vivo-y36-128gb?utm_flashsale=1                    ,Điện thoại vivo Y36 128GB                                   , 311120 , 5190000   ,vivo           ,Điện thoại ,               13
 314210 ,   0131491003953 ,16990000.0 ,https://www.dienmayxanh.com/dien-thoai/oppo-reno11-pro                                   ,Điện thoại OPPO Reno11 Pro 5G                               , 314210 ,16990000.0 ,OPPO           ,Điện thoại ,                0
 305887 ,   0131491003693 , 2690000   ,https://www.dienmayxanh.com/dien-thoai/realme-c30s-3gb-64gb?utm_flashsale=1              ,Điện thoại realme C30s (3GB/64GB)                           , 305887 , 2690000   ,realme         ,Điện thoại ,               56
 319670 ,   0131491003997 , 9490000.0 ,https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-note-13-pro-5g                       ,Điện thoại Xiaomi Redmi Note 13 Pro 5G                      , 319670 , 8990000.0 ,Xiaomi         ,Điện thoại ,               42
 319584 ,   0131491003937 , 6290000.0 ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a15-5g                             ,Điện thoại Samsung Galaxy A15 5G                            , 319584 , 5990000.0 ,Samsung        ,Điện thoại ,               28
 309722 ,   0131491003769 , 9990000   ,https://www.dienmayxanh.com/dien-thoai/oppo-reno10-5g-128gb?utm_flashsale=1              ,Điện thoại OPPO Reno10 5G 128GB                             , 309722 , 7990000   ,OPPO           ,Điện thoại ,               32
 249948 ,   0131491003618 ,24990000   ,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-s23-ultra?utm_flashsale=1          ,Điện thoại Samsung Galaxy S23 Ultra 5G 256GB                , 249948 ,22990000   ,Samsung        ,Điện thoại ,              124
